"","ANO_ELEICAO","UF","COD_MUN_TSE","NOME_MUNICIPIO","CARGO","VAGAS"
"197","2000","AP","6025","PORTO GRANDE","VEREADOR","9"
"198","2000","AP","6009","PRACUUBA","VEREADOR","9"
"199","2000","AP","6157","SANTANA","VEREADOR","17"
"200","2000","AP","6106","SERRA DO NAVIO","VEREADOR","9"
"201","2000","AP","6173","TARTARUGALZINHO","VEREADOR","9"
"202","2000","AP","6122","VITORIA DO JARI","VEREADOR","9"
"203","2000","BA","33014","ABAIRA","VEREADOR","9"
"204","2000","BA","33030","ABARE","VEREADOR","11"
"205","2000","BA","33057","ACAJUTIBA","VEREADOR","9"
"206","2000","BA","33065","ADUSTINA","VEREADOR","9"
"207","2000","BA","33073","AGUA FRIA","VEREADOR","11"
"208","2000","BA","33090","AGUA QUENTE","VEREADOR","9"
"209","2000","BA","33111","AIQUARA","VEREADOR","9"
"210","2000","BA","33138","ALAGOINHAS","VEREADOR","17"
"211","2000","BA","33154","ALCOBACA","VEREADOR","11"
"212","2000","BA","33170","ALMADINA","VEREADOR","9"
"213","2000","BA","33197","AMARGOSA","VEREADOR","13"
"214","2000","BA","33219","AMELIA RODRIGUES","VEREADOR","13"
"215","2000","BA","30716","AMERICA DOURADA","VEREADOR","11"
"216","2000","BA","33235","ANAGE","VEREADOR","13"
"217","2000","BA","33251","ANDARAI","VEREADOR","9"
"218","2000","BA","33260","ANDORINHA","VEREADOR","11"
"219","2000","BA","33278","ANGICAL","VEREADOR","11"
"220","2000","BA","33294","ANGUERA","VEREADOR","9"
"221","2000","BA","34010","ANSELMO DA FONSECA","VEREADOR","11"
"222","2000","BA","33316","ANTAS","VEREADOR","11"
"223","2000","BA","33332","ANTONIO CARDOSO","VEREADOR","9"
"224","2000","BA","33359","ANTONIO GONCALVES","VEREADOR","9"
"225","2000","BA","33375","APORA","VEREADOR","11"
"226","2000","BA","33405","APUAREMA","VEREADOR","9"
"227","2000","BA","33383","ARACAS","VEREADOR","9"
"228","2000","BA","33391","ARACATU","VEREADOR","11"
"229","2000","BA","33413","ARACI","VEREADOR","15"
"230","2000","BA","33430","ARAMARI","VEREADOR","9"
"231","2000","BA","30732","ARATACA","VEREADOR","11"
"232","2000","BA","33456","ARATUIPE","VEREADOR","9"
"233","2000","BA","33472","AURELINO LEAL","VEREADOR","11"
"234","2000","BA","33499","BAIANOPOLIS","VEREADOR","11"
"235","2000","BA","33510","BAIXA GRANDE","VEREADOR","11"
"236","2000","BA","33529","BANZAE","VEREADOR","11"
"237","2000","BA","33537","BARRA","VEREADOR","13"
"238","2000","BA","33553","BARRA DA ESTIVA","VEREADOR","11"
"239","2000","BA","33570","BARRA DO CHOCA","VEREADOR","13"
"240","2000","BA","33596","BARRA DO MENDES","VEREADOR","11"
"241","2000","BA","33618","BARRA DO ROCHA","VEREADOR","9"
"242","2000","BA","33634","BARREIRAS","VEREADOR","17"
"243","2000","BA","30759","BARRO ALTO","VEREADOR","9"
"244","2000","BA","30775","BARROCAS","VEREADOR","9"
"245","2000","BA","33677","BELMONTE","VEREADOR","11"
"246","2000","BA","33693","BELO CAMPO","VEREADOR","11"
"247","2000","BA","33715","BIRITINGA","VEREADOR","11"
"248","2000","BA","33731","BOA NOVA","VEREADOR","11"
"249","2000","BA","33758","BOA VISTA DO TUPIM","VEREADOR","11"
"250","2000","BA","33774","BOM JESUS DA LAPA","VEREADOR","15"
"251","2000","BA","33782","BOM JESUS DA SERRA","VEREADOR","9"
"252","2000","BA","33790","BONINAL","VEREADOR","9"
"253","2000","BA","33804","BONITO","VEREADOR","9"
"254","2000","BA","33812","BOQUIRA","VEREADOR","11"
"255","2000","BA","33839","BOTUPORA","VEREADOR","9"
"256","2000","BA","33855","BREJOES","VEREADOR","9"
"257","2000","BA","33871","BREJOLANDIA","VEREADOR","9"
"258","2000","BA","33898","BROTAS DE MACAUBAS","VEREADOR","11"
"259","2000","BA","33910","BRUMADO","VEREADOR","15"
"260","2000","BA","33936","BUERAREMA","VEREADOR","13"
"261","2000","BA","30791","BURITIRAMA","VEREADOR","9"
"262","2000","BA","33952","CAATIBA","VEREADOR","11"
"263","2000","BA","33960","CABACEIRAS DO PARAGUACU","VEREADOR","9"
"264","2000","BA","33979","CACHOEIRA","VEREADOR","13"
"265","2000","BA","33995","CACULE","VEREADOR","13"
"266","2000","BA","34029","CAETANOS","VEREADOR","9"
"267","2000","BA","34037","CAETITE","VEREADOR","13"
"268","2000","BA","34053","CAFARNAUM","VEREADOR","11"
"269","2000","BA","34070","CAIRU","VEREADOR","11"
"270","2000","BA","34096","CALDEIRAO GRANDE","VEREADOR","9"
"271","2000","BA","34118","CAMACAN","VEREADOR","13"
"272","2000","BA","34134","CAMACARI","VEREADOR","17"
"273","2000","BA","34150","CAMAMU","VEREADOR","13"
"274","2000","BA","34177","CAMPO ALEGRE DE LOURDES","VEREADOR","11"
"275","2000","BA","34193","CAMPO FORMOSO","VEREADOR","15"
"276","2000","BA","34215","CANAPOLIS","VEREADOR","9"
"277","2000","BA","34231","CANARANA","VEREADOR","11"
"278","2000","BA","34258","CANAVIEIRAS","VEREADOR","13"
"279","2000","BA","34274","CANDEAL","VEREADOR","9"
"280","2000","BA","34290","CANDEIAS","VEREADOR","15"
"281","2000","BA","34312","CANDIBA","VEREADOR","11"
"282","2000","BA","34339","CANDIDO SALES","VEREADOR","11"
"283","2000","BA","34355","CANSANCAO","VEREADOR","13"
"284","2000","BA","30856","CANUDOS","VEREADOR","11"
"285","2000","BA","30813","CAPELA DO ALTO ALEGRE","VEREADOR","11"
"286","2000","BA","30830","CAPIM GROSSO","VEREADOR","13"
"287","2000","BA","34363","CARAIBAS","VEREADOR","11"
"288","2000","BA","34371","CARAVELAS","VEREADOR","11"
"289","2000","BA","34398","CARDEAL DA SILVA","VEREADOR","9"
"290","2000","BA","34410","CARINHANHA","VEREADOR","13"
"291","2000","BA","34436","CASA NOVA","VEREADOR","13"
"292","2000","BA","34452","CASTRO ALVES","VEREADOR","13"
"293","2000","BA","34479","CATOLANDIA","VEREADOR","9"
"294","2000","BA","34495","CATU","VEREADOR","13"
"295","2000","BA","34509","CATURAMA","VEREADOR","9"
"296","2000","BA","34517","CENTRAL","VEREADOR","11"
"297","2000","BA","34533","CHORROCHO","VEREADOR","11"
"298","2000","BA","34550","CICERO DANTAS","VEREADOR","13"
"299","2000","BA","34576","CIPO","VEREADOR","9"
"300","2000","BA","34592","COARACI","VEREADOR","13"
"301","2000","BA","34614","COCOS","VEREADOR","11"
"302","2000","BA","34630","CONCEICAO DA FEIRA","VEREADOR","11"
"303","2000","BA","34657","CONCEICAO DO ALMEIDA","VEREADOR","11"
"304","2000","BA","34673","CONCEICAO DO COITE","VEREADOR","15"
"305","2000","BA","34690","CONCEICAO DO JACUIPE","VEREADOR","13"
"306","2000","BA","34711","CONDE","VEREADOR","11"
"307","2000","BA","34738","CONDEUBA","VEREADOR","11"
"308","2000","BA","34754","CONTENDAS DO SINCORA","VEREADOR","9"
"309","2000","BA","34770","CORACAO DE MARIA","VEREADOR","13"
"310","2000","BA","34797","CORDEIROS","VEREADOR","9"
"311","2000","BA","34819","CORIBE","VEREADOR","11"
"312","2000","BA","34835","CORONEL JOAO SA","VEREADOR","11"
"313","2000","BA","34851","CORRENTINA","VEREADOR","13"
"314","2000","BA","34878","COTEGIPE","VEREADOR","11"
"315","2000","BA","34894","CRAVOLANDIA","VEREADOR","9"
"316","2000","BA","34916","CRISOPOLIS","VEREADOR","11"
"317","2000","BA","34932","CRISTOPOLIS","VEREADOR","11"
"318","2000","BA","34959","CRUZ DAS ALMAS","VEREADOR","13"
"319","2000","BA","34975","CURACA","VEREADOR","11"
"320","2000","BA","34991","DARIO MEIRA","VEREADOR","11"
"321","2000","BA","30872","DIAS D AVILA","VEREADOR","13"
"322","2000","BA","35017","DOM BASILIO","VEREADOR","9"
"323","2000","BA","35033","DOM MACEDO COSTA","VEREADOR","9"
"324","2000","BA","35050","ELISIO MEDRADO","VEREADOR","11"
"325","2000","BA","35076","ENCRUZILHADA","VEREADOR","13"
"326","2000","BA","35092","ENTRE RIOS","VEREADOR","13"
"327","2000","BA","35114","ESPLANADA","VEREADOR","13"
"328","2000","BA","35130","EUCLIDES DA CUNHA","VEREADOR","13"
"329","2000","BA","30058","EUNAPOLIS","VEREADOR","15"
"330","2000","BA","30899","FATIMA","VEREADOR","11"
"331","2000","BA","35149","FEIRA DA MATA","VEREADOR","9"
"332","2000","BA","35157","FEIRA DE SANTANA","VEREADOR","21"
"333","2000","BA","30910","FILADELFIA","VEREADOR","9"
"334","2000","BA","35173","FIRMINO ALVES","VEREADOR","9"
"335","2000","BA","35190","FLORESTA AZUL","VEREADOR","11"
"336","2000","BA","35211","FORMOSA DO RIO PRETO","VEREADOR","11"
"337","2000","BA","35238","GANDU","VEREADOR","13"
"338","2000","BA","30937","GAVIAO","VEREADOR","9"
"339","2000","BA","35254","GENTIO DO OURO","VEREADOR","9"
"340","2000","BA","35270","GLORIA","VEREADOR","9"
"341","2000","BA","35297","GONGOGI","VEREADOR","9"
"342","2000","BA","33650","GOVERNADOR LOMANTO JUNIOR","VEREADOR","9"
"343","2000","BA","35319","GOVERNADOR MANGABEIRA","VEREADOR","11"
"344","2000","BA","30953","GUAJERU","VEREADOR","9"
"345","2000","BA","35335","GUANAMBI","VEREADOR","13"
"346","2000","BA","35351","GUARATINGA","VEREADOR","13"
"347","2000","BA","30970","HELIOPOLIS","VEREADOR","11"
"348","2000","BA","35378","IACU","VEREADOR","13"
"349","2000","BA","35394","IBIASSUCE","VEREADOR","9"
"350","2000","BA","35416","IBICARAI","VEREADOR","13"
"351","2000","BA","35432","IBICOARA","VEREADOR","9"
"352","2000","BA","35459","IBICUI","VEREADOR","11"
"353","2000","BA","35475","IBIPEBA","VEREADOR","11"
"354","2000","BA","35513","IBIPITANGA","VEREADOR","11"
"355","2000","BA","35530","IBIQUERA","VEREADOR","9"
"356","2000","BA","35556","IBIRAPITANGA","VEREADOR","11"
"357","2000","BA","35572","IBIRAPUA","VEREADOR","9"
"358","2000","BA","35599","IBIRATAIA","VEREADOR","11"
"359","2000","BA","35610","IBITIARA","VEREADOR","11"
"360","2000","BA","35637","IBITITA","VEREADOR","11"
"361","2000","BA","35653","IBOTIRAMA","VEREADOR","13"
"362","2000","BA","35670","ICHU","VEREADOR","9"
"363","2000","BA","35696","IGAPORA","VEREADOR","11"
"364","2000","BA","35700","IGRAPIUNA","VEREADOR","9"
"365","2000","BA","35718","IGUAI","VEREADOR","13"
"366","2000","BA","35734","ILHEUS","VEREADOR","19"
"367","2000","BA","35750","INHAMBUPE","VEREADOR","13"
"368","2000","BA","35777","IPECAETA","VEREADOR","11"
"369","2000","BA","35793","IPIAU","VEREADOR","15"
"370","2000","BA","35815","IPIRA","VEREADOR","15"
"371","2000","BA","35831","IPUPIARA","VEREADOR","9"
"372","2000","BA","35858","IRAJUBA","VEREADOR","9"
"373","2000","BA","35874","IRAMAIA","VEREADOR","11"
"374","2000","BA","35890","IRAQUARA","VEREADOR","11"
"375","2000","BA","35912","IRARA","VEREADOR","13"
"376","2000","BA","35939","IRECE","VEREADOR","15"
"377","2000","BA","35947","ITABELA","VEREADOR","13"
"378","2000","BA","35955","ITABERABA","VEREADOR","15"
"379","2000","BA","35971","ITABUNA","VEREADOR","19"
"380","2000","BA","35998","ITACARE","VEREADOR","11"
"381","2000","BA","36013","ITAETE","VEREADOR","9"
"382","2000","BA","36030","ITAGI","VEREADOR","11"
"383","2000","BA","36056","ITAGIBA","VEREADOR","11"
"384","2000","BA","36072","ITAGIMIRIM","VEREADOR","9"
"385","2000","BA","36080","ITAGUACU DA BAHIA","VEREADOR","9"
"386","2000","BA","36099","ITAJU DO COLONIA","VEREADOR","9"
"387","2000","BA","36110","ITAJUIPE","VEREADOR","13"
"388","2000","BA","36137","ITAMARAJU","VEREADOR","15"
"389","2000","BA","36153","ITAMARI","VEREADOR","9"
"390","2000","BA","36170","ITAMBE","VEREADOR","13"
"391","2000","BA","36196","ITANAGRA","VEREADOR","9"
"392","2000","BA","36218","ITANHEM","VEREADOR","13"
"393","2000","BA","36234","ITAPARICA","VEREADOR","11"
"394","2000","BA","36250","ITAPE","VEREADOR","11"
"395","2000","BA","36277","ITAPEBI","VEREADOR","11"
"396","2000","BA","36293","ITAPETINGA","VEREADOR","15"
"397","2000","BA","36315","ITAPICURU","VEREADOR","11"
"398","2000","BA","36331","ITAPITANGA","VEREADOR","9"
"399","2000","BA","36358","ITAQUARA","VEREADOR","9"
"400","2000","BA","36374","ITARANTIM","VEREADOR","11"
"401","2000","BA","36382","ITATIM","VEREADOR","11"
"402","2000","BA","36390","ITIRUCU","VEREADOR","11"
"403","2000","BA","36412","ITIUBA","VEREADOR","13"
"404","2000","BA","36439","ITORORO","VEREADOR","13"
"405","2000","BA","36455","ITUACU","VEREADOR","11"
"406","2000","BA","36471","ITUBERA","VEREADOR","13"
"407","2000","BA","30660","IUIU","VEREADOR","9"
"408","2000","BA","30678","JABORANDI","VEREADOR","9"
"409","2000","BA","36498","JACARACI","VEREADOR","11"
"410","2000","BA","36510","JACOBINA","VEREADOR","15"
"411","2000","BA","36536","JAGUAQUARA","VEREADOR","13"
"412","2000","BA","36552","JAGUARARI","VEREADOR","13"
"413","2000","BA","36579","JAGUARIPE","VEREADOR","9"
"414","2000","BA","36595","JANDAIRA","VEREADOR","9"
"415","2000","BA","36617","JEQUIE","VEREADOR","17"
"416","2000","BA","36633","JEREMOABO","VEREADOR","13"
"417","2000","BA","36650","JIQUIRICA","VEREADOR","11"
"418","2000","BA","36676","JITAUNA","VEREADOR","11"
"419","2000","BA","30996","JOAO DOURADO","VEREADOR","11"
"420","2000","BA","36692","JUAZEIRO","VEREADOR","19"
"421","2000","BA","36706","JUCURUCU","VEREADOR","11"
"422","2000","BA","36714","JUSSARA","VEREADOR","11"
"423","2000","BA","30694","JUSSARI","VEREADOR","11"
"424","2000","BA","36730","JUSSIAPE","VEREADOR","9"
"425","2000","BA","36757","LAFAIETE COUTINHO","VEREADOR","9"
"426","2000","BA","36765","LAGOA REAL","VEREADOR","9"
"427","2000","BA","36773","LAJE","VEREADOR","11"
"428","2000","BA","36790","LAJEDAO","VEREADOR","9"
"429","2000","BA","36811","LAJEDINHO","VEREADOR","9"
"430","2000","BA","36820","LAJEDO DO TABOCAL","VEREADOR","9"
"431","2000","BA","36838","LAMARAO","VEREADOR","9"
"432","2000","BA","39730","LAPAO","VEREADOR","11"
"433","2000","BA","36854","LAURO DE FREITAS","VEREADOR","17"
"434","2000","BA","36870","LENCOIS","VEREADOR","9"
"435","2000","BA","36897","LICINIO DE ALMEIDA","VEREADOR","11"
"436","2000","BA","36919","LIVRAMENTO DE NOSSA SENHORA","VEREADOR","13"
"437","2000","BA","30007","LUIS EDUARDO MAGALHAES","VEREADOR","9"
"438","2000","BA","36935","MACAJUBA","VEREADOR","9"
"439","2000","BA","36951","MACARANI","VEREADOR","11"
"440","2000","BA","36978","MACAUBAS","VEREADOR","13"
"441","2000","BA","36994","MACURURE","VEREADOR","9"
"442","2000","BA","39748","MADRE DE DEUS","VEREADOR","9"
