"","Ano da eleição","UF","Código do município","Nome do município","Cargo","Volatilidade eleitoral","Volatilidade parlamentar"
"261",2008,"AL","28738","Sao Miguel Dos Milagres","Vereador"," 7,26"," 7,72"
"262",2008,"AL","28754","Sao Sebastiao","Vereador"," 8,34"," 9,02"
"263",2008,"AL","28770","Satuba","Vereador"," 7,50"," 8,00"
"264",2008,"AL","28797","Tanque D'arca","Vereador"," 3,66"," 4,33"
"265",2008,"AL","28819","Taquarana","Vereador"," 4,04"," 4,78"
"266",2008,"AL","28835","Traipu","Vereador"," 7,04"," 7,56"
"267",2008,"AL","28851","Uniao Dos Palmares","Vereador","10,91","11,50"
"268",2008,"AL","28878","Vicosa","Vereador"," 8,03"," 8,56"
"269",2008,"AL","28894","Craibas","Vereador"," 7,38"," 8,00"
"270",2008,"AL","28916","Senador Rui Palmeira","Vereador"," 4,27"," 4,78"
"271",2008,"AL","28932","Teotonio Vilela","Vereador"," 6,40"," 6,94"
"272",2012,"AL","27006","Paripueira","Vereador"," 8,95"," 8,44"
"273",2012,"AL","27014","Agua Branca","Vereador"," 9,00"," 8,50"
"274",2012,"AL","27022","Pariconha","Vereador"," 5,00"," 4,50"
"275",2012,"AL","27030","Anadia","Vereador"," 8,50"," 8,00"
"276",2012,"AL","27049","Estrela De Alagoas","Vereador"," 6,23"," 5,67"
"277",2012,"AL","27057","Arapiraca","Vereador"," 8,50"," 8,00"
"278",2012,"AL","27065","Jequia Da Praia","Vereador","10,79","10,22"
"279",2012,"AL","27073","Atalaia","Vereador","10,19"," 9,55"
"280",2012,"AL","27081","Campestre","Vereador"," 6,27"," 5,61"
"281",2012,"AL","27090","Barra De Santo Antonio","Vereador","12,89","12,17"
"282",2012,"AL","27111","Barra De Sao Miguel","Vereador","11,51","10,72"
"283",2012,"AL","27138","Batalha","Vereador"," 9,25"," 8,61"
"284",2012,"AL","27154","Belem","Vereador"," 4,53"," 4,00"
"285",2012,"AL","27170","Belo Monte","Vereador"," 4,97"," 4,44"
"286",2012,"AL","27197","Boca Da Mata","Vereador","10,11"," 9,11"
"287",2012,"AL","27219","Branquinha","Vereador"," 7,16"," 6,28"
"288",2012,"AL","27235","Cacimbinhas","Vereador"," 4,81"," 4,28"
"289",2012,"AL","27251","Cajueiro","Vereador"," 8,97"," 8,22"
"290",2012,"AL","27278","Campo Alegre","Vereador","12,69","11,94"
"291",2012,"AL","27294","Campo Grande","Vereador"," 6,00"," 5,50"
"292",2012,"AL","27316","Canapi","Vereador"," 7,53"," 7,00"
"293",2012,"AL","27332","Capela","Vereador"," 9,27"," 8,61"
"294",2012,"AL","27359","Carneiros","Vereador"," 7,56"," 6,72"
"295",2012,"AL","27375","Cha Preta","Vereador"," 7,11"," 6,22"
"296",2012,"AL","27391","Coite Do Noia","Vereador"," 4,93"," 4,22"
"297",2012,"AL","27413","Colonia Leopoldina","Vereador"," 7,35"," 6,82"
"298",2012,"AL","27430","Coqueiro Seco","Vereador"," 8,50"," 8,00"
"299",2012,"AL","27456","Coruripe","Vereador","12,59","11,30"
"300",2012,"AL","27472","Delmiro Gouveia","Vereador","10,00"," 9,50"
"301",2012,"AL","27499","Dois Riachos","Vereador"," 7,68"," 7,11"
"302",2012,"AL","27510","Feira Grande","Vereador"," 9,63"," 9,11"
"303",2012,"AL","27537","Feliz Deserto","Vereador"," 5,45"," 5,00"
"304",2012,"AL","27553","Flexeiras","Vereador"," 8,23"," 7,61"
"305",2012,"AL","27570","Girau Do Ponciano","Vereador"," 6,41"," 5,89"
"306",2012,"AL","27596","Ibateguara","Vereador"," 8,96"," 8,22"
"307",2012,"AL","27618","Igaci","Vereador"," 7,26"," 6,61"
"308",2012,"AL","27634","Igreja Nova","Vereador"," 7,19"," 6,61"
"309",2012,"AL","27650","Inhapi","Vereador"," 6,48"," 6,00"
"310",2012,"AL","27677","Jacare Dos Homens","Vereador"," 4,31"," 3,83"
"311",2012,"AL","27693","Jacuipe","Vereador"," 6,76"," 6,11"
"312",2012,"AL","27715","Japaratinga","Vereador"," 7,48"," 7,00"
"313",2012,"AL","27731","Jaramataia","Vereador"," 6,58"," 5,72"
"314",2012,"AL","27758","Joaquim Gomes","Vereador"," 9,10"," 8,50"
"315",2012,"AL","27774","Jundia","Vereador"," 6,96"," 6,50"
"316",2012,"AL","27790","Junqueiro","Vereador"," 6,10"," 5,56"
"317",2012,"AL","27812","Lagoa Da Canoa","Vereador"," 8,39"," 7,50"
"318",2012,"AL","27839","Limoeiro De Anadia","Vereador"," 5,19"," 4,61"
"319",2012,"AL","27855","Maceio","Vereador","13,50","13,00"
"320",2012,"AL","27871","Major Isidoro","Vereador"," 8,64"," 8,11"
"321",2012,"AL","27898","Maragogi","Vereador","10,50","10,00"
"322",2012,"AL","27910","Maravilha","Vereador"," 5,50"," 5,00"
"323",2012,"AL","27936","Marechal Deodoro","Vereador","10,68","10,11"
"324",2012,"AL","27952","Maribondo","Vereador"," 9,34"," 8,67"
"325",2012,"AL","27979","Mar Vermelho","Vereador"," 5,48"," 5,00"
"326",2012,"AL","27995","Mata Grande","Vereador"," 7,72"," 7,23"
"327",2012,"AL","28010","Matriz De Camaragibe","Vereador","10,50","10,00"
"328",2012,"AL","28037","Messias","Vereador","10,33"," 9,67"
"329",2012,"AL","28053","Minador Do Negrao","Vereador"," 3,10"," 2,56"
"330",2012,"AL","28070","Monteiropolis","Vereador"," 6,19"," 5,67"
"331",2012,"AL","28096","Murici","Vereador"," 5,00"," 4,50"
"332",2012,"AL","28118","Novo Lino","Vereador"," 7,01"," 6,50"
"333",2012,"AL","28134","Olho D'agua Das Flores","Vereador"," 8,03"," 7,50"
"334",2012,"AL","28150","Olho D'agua Do Casado","Vereador"," 6,36"," 5,72"
"335",2012,"AL","28177","Olho D'agua Grande","Vereador"," 5,93"," 4,94"
"336",2012,"AL","28193","Olivenca","Vereador"," 8,21"," 7,61"
"337",2012,"AL","28215","Ouro Branco","Vereador"," 9,81"," 9,39"
"338",2012,"AL","28231","Palestina","Vereador"," 8,84"," 7,72"
"339",2012,"AL","28258","Palmeira Dos Indios","Vereador","10,99","10,50"
"340",2012,"AL","28274","Pao De Acucar","Vereador"," 9,43"," 8,95"
"341",2012,"AL","28290","Passo De Camaragibe","Vereador"," 7,06"," 6,56"
"342",2012,"AL","28312","Paulo Jacinto","Vereador"," 9,51"," 8,78"
"343",2012,"AL","28339","Penedo","Vereador","12,77","12,15"
"344",2012,"AL","28355","Piacabucu","Vereador"," 9,28"," 8,56"
"345",2012,"AL","28371","Pilar","Vereador","10,90","10,28"
"346",2012,"AL","28398","Pindoba","Vereador"," 5,00"," 4,50"
"347",2012,"AL","28410","Piranhas","Vereador"," 5,00"," 4,50"
"348",2012,"AL","28436","Poco Das Trincheiras","Vereador"," 8,23"," 7,56"
"349",2012,"AL","28452","Porto Calvo","Vereador","11,57","11,06"
"350",2012,"AL","28479","Porto De Pedras","Vereador"," 7,45"," 6,94"
"351",2012,"AL","28495","Porto Real Do Colegio","Vereador"," 9,73"," 8,83"
"352",2012,"AL","28517","Quebrangulo","Vereador"," 7,17"," 6,56"
"353",2012,"AL","28533","Rio Largo","Vereador","11,50","11,00"
"354",2012,"AL","28550","Roteiro","Vereador"," 4,70"," 4,11"
"355",2012,"AL","28576","Santa Luzia Do Norte","Vereador","10,04"," 9,50"
"356",2012,"AL","28592","Santana Do Ipanema","Vereador","11,00","10,50"
"357",2012,"AL","28614","Santana Do Mundau","Vereador"," 6,51"," 6,00"
"358",2012,"AL","28630","Sao Bras","Vereador"," 6,47"," 5,72"
