"","Ano da eleição","UF","Cargo","Cadeiras oferecidas","Votos válidos","Sigla do partido","Votos do partido","Quociente eleitoral","Quociente partidário"
"129",2018,"AC","Deputado Estadual",24,"428.535","PSB","19.969","17.855,61","1,12"
"130",2018,"AC","Deputado Estadual",24,"428.535","PSC","3.800","17.855,61","0,21"
"131",2018,"AC","Deputado Estadual",24,"428.535","PSD","9.369","17.855,61","0,52"
"132",2018,"AC","Deputado Estadual",24,"428.535","PSDB","33.344","17.855,61","1,87"
"133",2018,"AC","Deputado Estadual",24,"428.535","PSL","14.525","17.855,61","0,81"
"134",2018,"AC","Deputado Estadual",24,"428.535","PSOL","4.505","17.855,61","0,25"
"135",2018,"AC","Deputado Estadual",24,"428.535","PT","45.477","17.855,61","2,55"
"136",2018,"AC","Deputado Estadual",24,"428.535","PTB","17.698","17.855,61","0,99"
"137",2018,"AC","Deputado Estadual",24,"428.535","PTC","3.852","17.855,61","0,22"
"138",2018,"AC","Deputado Estadual",24,"428.535","PV","10.556","17.855,61","0,59"
"139",2018,"AC","Deputado Estadual",24,"428.535","REDE","6.164","17.855,61","0,35"
"140",2018,"AC","Deputado Estadual",24,"428.535","SOLIDARIEDADE","20.877","17.855,61","1,17"
"141",1998,"AL","Deputado Estadual",27,"865.662","PAN","266","32.061,56","0,01"
"142",1998,"AL","Deputado Estadual",27,"865.662","PC do B","4.835","32.061,56","0,15"
"143",1998,"AL","Deputado Estadual",27,"865.662","PDT","18.822","32.061,56","0,59"
"144",1998,"AL","Deputado Estadual",27,"865.662","PFL","50.676","32.061,56","1,58"
"145",1998,"AL","Deputado Estadual",27,"865.662","PGT","220","32.061,56","0,01"
"146",1998,"AL","Deputado Estadual",27,"865.662","PL","1.697","32.061,56","0,05"
"147",1998,"AL","Deputado Estadual",27,"865.662","PMDB","61.751","32.061,56","1,93"
"148",1998,"AL","Deputado Estadual",27,"865.662","PMN","22.122","32.061,56","0,69"
"149",1998,"AL","Deputado Estadual",27,"865.662","PPB","17.684","32.061,56","0,55"
"150",1998,"AL","Deputado Estadual",27,"865.662","PPS","10.888","32.061,56","0,34"
"151",1998,"AL","Deputado Estadual",27,"865.662","PRN","7.017","32.061,56","0,22"
"152",1998,"AL","Deputado Estadual",27,"865.662","PRONA","2.460","32.061,56","0,08"
"153",1998,"AL","Deputado Estadual",27,"865.662","PRP","3.452","32.061,56","0,11"
"154",1998,"AL","Deputado Estadual",27,"865.662","PRTB","174","32.061,56","0,01"
"155",1998,"AL","Deputado Estadual",27,"865.662","PSB","76.663","32.061,56","2,39"
"156",1998,"AL","Deputado Estadual",27,"865.662","PSC","216","32.061,56","0,01"
"157",1998,"AL","Deputado Estadual",27,"865.662","PSD","76.592","32.061,56","2,39"
"158",1998,"AL","Deputado Estadual",27,"865.662","PSDB","161.919","32.061,56","5,05"
"159",1998,"AL","Deputado Estadual",27,"865.662","PSL","108.790","32.061,56","3,39"
"160",1998,"AL","Deputado Estadual",27,"865.662","PSN","2.765","32.061,56","0,09"
"161",1998,"AL","Deputado Estadual",27,"865.662","PST","514","32.061,56","0,02"
"162",1998,"AL","Deputado Estadual",27,"865.662","PSTU","1.331","32.061,56","0,04"
"163",1998,"AL","Deputado Estadual",27,"865.662","PT","54.763","32.061,56","1,71"
"164",1998,"AL","Deputado Estadual",27,"865.662","PT do B","7.710","32.061,56","0,24"
"165",1998,"AL","Deputado Estadual",27,"865.662","PTB","169.890","32.061,56","5,3"
"166",1998,"AL","Deputado Estadual",27,"865.662","PTN","1.365","32.061,56","0,04"
"167",1998,"AL","Deputado Estadual",27,"865.662","PV","1.080","32.061,56","0,03"
"168",2002,"AL","Deputado Estadual",27,"1.172.429","PAN","2.208","43.423,30","0,05"
"169",2002,"AL","Deputado Estadual",27,"1.172.429","PC do B","4.248","43.423,30","0,1"
"170",2002,"AL","Deputado Estadual",27,"1.172.429","PDT","56.296","43.423,30","1,3"
"171",2002,"AL","Deputado Estadual",27,"1.172.429","PFL","40.598","43.423,30","0,93"
"172",2002,"AL","Deputado Estadual",27,"1.172.429","PGT","12.581","43.423,30","0,29"
"173",2002,"AL","Deputado Estadual",27,"1.172.429","PHS","3.080","43.423,30","0,07"
"174",2002,"AL","Deputado Estadual",27,"1.172.429","PL","108.206","43.423,30","2,49"
"175",2002,"AL","Deputado Estadual",27,"1.172.429","PMDB","21.252","43.423,30","0,49"
"176",2002,"AL","Deputado Estadual",27,"1.172.429","PMN","46.967","43.423,30","1,08"
"177",2002,"AL","Deputado Estadual",27,"1.172.429","PPB","5.544","43.423,30","0,13"
"178",2002,"AL","Deputado Estadual",27,"1.172.429","PPS","60.134","43.423,30","1,38"
"179",2002,"AL","Deputado Estadual",27,"1.172.429","PRONA","41.528","43.423,30","0,96"
"180",2002,"AL","Deputado Estadual",27,"1.172.429","PRP","20.485","43.423,30","0,47"
"181",2002,"AL","Deputado Estadual",27,"1.172.429","PRTB","16.636","43.423,30","0,38"
"182",2002,"AL","Deputado Estadual",27,"1.172.429","PSB","186.416","43.423,30","4,29"
"183",2002,"AL","Deputado Estadual",27,"1.172.429","PSC","991","43.423,30","0,02"
"184",2002,"AL","Deputado Estadual",27,"1.172.429","PSDB","104.931","43.423,30","2,42"
"185",2002,"AL","Deputado Estadual",27,"1.172.429","PSDC","1.667","43.423,30","0,04"
"186",2002,"AL","Deputado Estadual",27,"1.172.429","PSL","36.333","43.423,30","0,84"
"187",2002,"AL","Deputado Estadual",27,"1.172.429","PSTU","1.149","43.423,30","0,03"
"188",2002,"AL","Deputado Estadual",27,"1.172.429","PT","57.160","43.423,30","1,32"
"189",2002,"AL","Deputado Estadual",27,"1.172.429","PT do B","89.825","43.423,30","2,07"
"190",2002,"AL","Deputado Estadual",27,"1.172.429","PTB","250.252","43.423,30","5,76"
"191",2002,"AL","Deputado Estadual",27,"1.172.429","PTC","663","43.423,30","0,02"
"192",2002,"AL","Deputado Estadual",27,"1.172.429","PTN","1.576","43.423,30","0,04"
"193",2002,"AL","Deputado Estadual",27,"1.172.429","PV","1.703","43.423,30","0,04"
"194",2006,"AL","Deputado Estadual",27,"1.391.216","PAN","1.268","51.526,51","0,02"
"195",2006,"AL","Deputado Estadual",27,"1.391.216","PC do B","8.821","51.526,51","0,17"
"196",2006,"AL","Deputado Estadual",27,"1.391.216","PCB","1.086","51.526,51","0,02"
"197",2006,"AL","Deputado Estadual",27,"1.391.216","PDT","41.482","51.526,51","0,81"
"198",2006,"AL","Deputado Estadual",27,"1.391.216","PFL","121.445","51.526,51","2,36"
"199",2006,"AL","Deputado Estadual",27,"1.391.216","PHS","7.117","51.526,51","0,14"
"200",2006,"AL","Deputado Estadual",27,"1.391.216","PL","18.684","51.526,51","0,36"
"201",2006,"AL","Deputado Estadual",27,"1.391.216","PMDB","56.379","51.526,51","1,09"
"202",2006,"AL","Deputado Estadual",27,"1.391.216","PMN","532.781","51.526,51","10,34"
"203",2006,"AL","Deputado Estadual",27,"1.391.216","PP","6.162","51.526,51","0,12"
"204",2006,"AL","Deputado Estadual",27,"1.391.216","PPS","36.031","51.526,51","0,7"
"205",2006,"AL","Deputado Estadual",27,"1.391.216","PRB","1.955","51.526,51","0,04"
"206",2006,"AL","Deputado Estadual",27,"1.391.216","PRONA","62.401","51.526,51","1,21"
"207",2006,"AL","Deputado Estadual",27,"1.391.216","PRP","3.131","51.526,51","0,06"
"208",2006,"AL","Deputado Estadual",27,"1.391.216","PRTB","15.454","51.526,51","0,3"
"209",2006,"AL","Deputado Estadual",27,"1.391.216","PSB","108.194","51.526,51","2,1"
"210",2006,"AL","Deputado Estadual",27,"1.391.216","PSC","12.254","51.526,51","0,24"
