"","Ano da eleição","UF","Cargo","Cadeiras oferecidas","Votos válidos ","Sigla do partido","Votos válidos do partido","Quociente eleitoral","Quociente partidário"
"576",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PMN",370,"16.383,83",0.02
"577",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PP",11898,"16.383,83",0.73
"578",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PPL",5857,"16.383,83",0.36
"579",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PPS",6615,"16.383,83",0.4
"580",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PR",15208,"16.383,83",0.93
"581",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PRB",45116,"16.383,83",2.75
"582",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PROS",19737,"16.383,83",1.2
"583",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PRP",7413,"16.383,83",0.45
"584",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PRTB",7451,"16.383,83",0.45
"585",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PSB",36089,"16.383,83",2.2
"586",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PSC",28478,"16.383,83",1.74
"587",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PSD",11553,"16.383,83",0.71
"588",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PSDB",19117,"16.383,83",1.17
"589",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PSDC",13190,"16.383,83",0.81
"590",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PSOL",18893,"16.383,83",1.15
"591",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PSTU",1208,"16.383,83",0.07
"592",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PT",14472,"16.383,83",0.88
"593",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PT do B",12049,"16.383,83",0.74
"594",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PTB",15540,"16.383,83",0.95
"595",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PTC",548,"16.383,83",0.03
"596",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PTN",5941,"16.383,83",0.36
"597",2014,"AP","DEPUTADO ESTADUAL",24,393212,"PV",7714,"16.383,83",0.47
"598",2014,"AP","DEPUTADO ESTADUAL",24,393212,"SD",5431,"16.383,83",0.33
