"","ANO_ELEICAO","DESCRICAO_CARGO","SIGLA_PARTIDO","UF","Cadeiras conquistadas por UF"
"185",2002,"DEPUTADO FEDERAL","PC do B","MG",1
"186",2002,"DEPUTADO FEDERAL","PC do B","PE",1
"187",2002,"DEPUTADO FEDERAL","PC do B","PI",1
"188",2002,"DEPUTADO FEDERAL","PC do B","RJ",1
"189",2002,"DEPUTADO FEDERAL","PC do B","SP",2
"190",2002,"DEPUTADO FEDERAL","PDT","AP",2
"191",2002,"DEPUTADO FEDERAL","PDT","BA",1
"192",2002,"DEPUTADO FEDERAL","PDT","ES",1
"193",2002,"DEPUTADO FEDERAL","PDT","MA",3
"194",2002,"DEPUTADO FEDERAL","PDT","MG",2
"195",2002,"DEPUTADO FEDERAL","PDT","PA",1
"196",2002,"DEPUTADO FEDERAL","PDT","PR",1
"197",2002,"DEPUTADO FEDERAL","PDT","RJ",3
"198",2002,"DEPUTADO FEDERAL","PDT","RR",2
"199",2002,"DEPUTADO FEDERAL","PDT","RS",3
"200",2002,"DEPUTADO FEDERAL","PDT","SC",1
"201",2002,"DEPUTADO FEDERAL","PDT","SP",1
"202",2002,"DEPUTADO FEDERAL","PFL","AL",2
"203",2002,"DEPUTADO FEDERAL","PFL","AM",3
"204",2002,"DEPUTADO FEDERAL","PFL","BA",19
"205",2002,"DEPUTADO FEDERAL","PFL","CE",2
"206",2002,"DEPUTADO FEDERAL","PFL","DF",1
"207",2002,"DEPUTADO FEDERAL","PFL","GO",3
"208",2002,"DEPUTADO FEDERAL","PFL","MA",7
"209",2002,"DEPUTADO FEDERAL","PFL","MG",7
"210",2002,"DEPUTADO FEDERAL","PFL","MS",1
"211",2002,"DEPUTADO FEDERAL","PFL","MT",1
"212",2002,"DEPUTADO FEDERAL","PFL","PA",1
"213",2002,"DEPUTADO FEDERAL","PFL","PB",1
"214",2002,"DEPUTADO FEDERAL","PFL","PE",5
"215",2002,"DEPUTADO FEDERAL","PFL","PI",4
"216",2002,"DEPUTADO FEDERAL","PFL","PR",2
"217",2002,"DEPUTADO FEDERAL","PFL","RJ",4
"218",2002,"DEPUTADO FEDERAL","PFL","RN",2
"219",2002,"DEPUTADO FEDERAL","PFL","RO",1
"220",2002,"DEPUTADO FEDERAL","PFL","RR",3
"221",2002,"DEPUTADO FEDERAL","PFL","RS",1
"222",2002,"DEPUTADO FEDERAL","PFL","SC",2
"223",2002,"DEPUTADO FEDERAL","PFL","SE",2
"224",2002,"DEPUTADO FEDERAL","PFL","SP",7
"225",2002,"DEPUTADO FEDERAL","PFL","TO",3
"226",2002,"DEPUTADO FEDERAL","PL","AL",1
