"","Município - UF"
"396","Itapetinga - BA"
"397","Itapicuru - BA"
"398","Itapitanga - BA"
"399","Itaquara - BA"
"400","Itarantim - BA"
"401","Itatim - BA"
"402","Itiruçu - BA"
"403","Itiúba - BA"
"404","Itororó - BA"
"405","Ituaçu - BA"
"406","Ituberá - BA"
"407","Iuiú - BA"
"408","Jaborandi - BA"
"409","Jacaraci - BA"
"410","Jacobina - BA"
"411","Jaguaquara - BA"
"412","Jaguarari - BA"
"413","Jaguaripe - BA"
"414","Jandaíra - BA"
"415","Jequié - BA"
"416","Jeremoabo - BA"
"417","Jiquiriçá - BA"
"418","Jitaúna - BA"
"419","João Dourado - BA"
"420","Juazeiro - BA"
"421","Jucuruçu - BA"
"422","Jussara - BA"
"423","Jussari - BA"
"424","Jussiape - BA"
"425","Lafaiete Coutinho - BA"
"426","Lagoa Real - BA"
"427","Laje - BA"
"428","Lajedão - BA"
"429","Lajedinho - BA"
"430","Lajedo do Tabocal - BA"
"431","Lamarão - BA"
"432","Lapão - BA"
"433","Lauro de Freitas - BA"
"434","Lençóis - BA"
"435","Licínio de Almeida - BA"
"436","Livramento de Nossa Senhora - BA"
"437","Luís Eduardo Magalhães - BA"
"438","Macajuba - BA"
"439","Macarani - BA"
"440","Macaúbas - BA"
"441","Macururé - BA"
"442","Madre de Deus - BA"
"443","Maetinga - BA"
"444","Maiquinique - BA"
"445","Mairi - BA"
"446","Malhada - BA"
"447","Malhada de Pedras - BA"
"448","Manoel Vitorino - BA"
"449","Mansidão - BA"
"450","Maracás - BA"
"451","Maragogipe - BA"
"452","Maraú - BA"
"453","Marcionílio Souza - BA"
"454","Mascote - BA"
"455","Mata de São João - BA"
"456","Matina - BA"
"457","Medeiros Neto - BA"
"458","Miguel Calmon - BA"
"459","Milagres - BA"
"460","Mirangaba - BA"
"461","Mirante - BA"
"462","Monte Santo - BA"
"463","Morpará - BA"
"464","Morro do Chapéu - BA"
"465","Mortugaba - BA"
"466","Mucugê - BA"
"467","Mucuri - BA"
"468","Mulungu do Morro - BA"
"469","Mundo Novo - BA"
"470","Muniz Ferreira - BA"
"471","Muquém de São Francisco - BA"
"472","Muritiba - BA"
"473","Mutuípe - BA"
"474","Nazaré - BA"
"475","Nilo Peçanha - BA"
"476","Nordestina - BA"
"477","Nova Canaã - BA"
"478","Nova Fátima - BA"
"479","Nova Ibiá - BA"
"480","Nova Itarana - BA"
"481","Nova Redenção - BA"
"482","Nova Soure - BA"
"483","Nova Viçosa - BA"
"484","Novo Horizonte - BA"
"485","Novo Triunfo - BA"
"486","Olindina - BA"
"487","Oliveira dos Brejinhos - BA"
"488","Ouriçangas - BA"
"489","Ourolândia - BA"
"490","Palmas de Monte Alto - BA"
"491","Palmeiras - BA"
"492","Paramirim - BA"
"493","Paratinga - BA"
"494","Paripiranga - BA"
"495","Pau Brasil - BA"
"496","Paulo Afonso - BA"
"497","Pé de Serra - BA"
