"","Ano da eleição","UF","Cargo","Cadeiras disponíveis","Reapresentação","Reeleitos","Conservação","Renovação bruta","Renovação líquida"
"212",2010,"RS","Deputado Estadual",55,37,33," 89,19","40,00","10,81"
"213",2010,"SC","Deputado Estadual",40,29,26," 89,66","35,00","10,34"
"214",2010,"SE","Deputado Estadual",24,18,14," 77,78","41,67","22,22"
"215",2010,"SP","Deputado Estadual",94,75,61," 81,33","35,11","18,67"
"216",2010,"TO","Deputado Estadual",24,16,14," 87,50","41,67","12,50"
"217",2014,"AC","Deputado Estadual",24,15,6," 40,00","75,00","60,00"
"218",2014,"AL","Deputado Estadual",27,19,16," 84,21","40,74","15,79"
"219",2014,"AM","Deputado Estadual",24,19,15," 78,95","37,50","21,05"
"220",2014,"AP","Deputado Estadual",24,20,11," 55,00","54,17","45,00"
"221",2014,"BA","Deputado Estadual",63,47,39," 82,98","38,10","17,02"
"222",2014,"CE","Deputado Estadual",46,32,21," 65,62","54,35","34,38"
"223",2014,"DF","Deputado Estadual",24,14,11," 78,57","54,17","21,43"
"224",2014,"ES","Deputado Estadual",30,18,10," 55,56","66,67","44,44"
"225",2014,"GO","Deputado Estadual",41,26,16," 61,54","60,98","38,46"
"226",2014,"MA","Deputado Estadual",42,31,20," 64,52","52,38","35,48"
"227",2014,"MG","Deputado Estadual",77,60,48," 80,00","37,66","20,00"
"228",2014,"MS","Deputado Estadual",24,15,13," 86,67","45,83","13,33"
"229",2014,"MT","Deputado Estadual",24,12,10," 83,33","58,33","16,67"
"230",2014,"PA","Deputado Estadual",41,26,19," 73,08","53,66","26,92"
"231",2014,"PB","Deputado Estadual",36,28,20," 71,43","44,44","28,57"
"232",2014,"PE","Deputado Estadual",49,36,26," 72,22","46,94","27,78"
"233",2014,"PI","Deputado Estadual",30,20,15," 75,00","50,00","25,00"
"234",2014,"PR","Deputado Estadual",54,40,31," 77,50","42,59","22,50"
"235",2014,"RJ","Deputado Estadual",70,57,36," 63,16","48,57","36,84"
"236",2014,"RN","Deputado Estadual",24,17,14," 82,35","41,67","17,65"
"237",2014,"RO","Deputado Estadual",24,16,11," 68,75","54,17","31,25"
"238",2014,"RR","Deputado Estadual",24,19,14," 73,68","41,67","26,32"
"239",2014,"RS","Deputado Estadual",55,40,30," 75,00","45,45","25,00"
"240",2014,"SC","Deputado Estadual",40,31,24," 77,42","40,00","22,58"
"241",2014,"SE","Deputado Estadual",24,19,15," 78,95","37,50","21,05"
"242",2014,"SP","Deputado Estadual",94,70,56," 80,00","40,43","20,00"
"243",2014,"TO","Deputado Estadual",24,15,11," 73,33","54,17","26,67"
"244",2018,"AC","Deputado Estadual",24,19,12," 63,16","50,00","36,84"
"245",2018,"AL","Deputado Estadual",27,19,14," 73,68","48,15","26,32"
"246",2018,"AM","Deputado Estadual",24,15,10," 66,67","58,33","33,33"
"247",2018,"AP","Deputado Estadual",24,20,13," 65,00","45,83","35,00"
"248",2018,"BA","Deputado Estadual",63,47,37," 78,72","41,27","21,28"
"249",2018,"CE","Deputado Estadual",46,33,26," 78,79","43,48","21,21"
"250",2018,"DF","Deputado Estadual",24,16,7," 43,75","70,83","56,25"
"251",2018,"ES","Deputado Estadual",30,20,14," 70,00","53,33","30,00"
"252",2018,"GO","Deputado Estadual",41,28,20," 71,43","51,22","28,57"
"253",2018,"MA","Deputado Estadual",42,32,18," 56,25","57,14","43,75"
"254",2018,"MG","Deputado Estadual",77,59,45," 76,27","41,56","23,73"
"255",2018,"MS","Deputado Estadual",24,16,12," 75,00","50,00","25,00"
"256",2018,"MT","Deputado Estadual",24,17,9," 52,94","62,50","47,06"
"257",2018,"PA","Deputado Estadual",41,28,19," 67,86","53,66","32,14"
"258",2018,"PB","Deputado Estadual",36,28,21," 75,00","41,67","25,00"
"259",2018,"PE","Deputado Estadual",49,33,21," 63,64","57,14","36,36"
"260",2018,"PI","Deputado Estadual",30,25,23," 92,00","23,33"," 8,00"
"261",2018,"PR","Deputado Estadual",54,42,30," 71,43","44,44","28,57"
"262",2018,"RJ","Deputado Estadual",70,39,34," 87,18","51,43","12,82"
"263",2018,"RN","Deputado Estadual",24,19,14," 73,68","41,67","26,32"
"264",2018,"RO","Deputado Estadual",24,19,11," 57,89","54,17","42,11"
"265",2018,"RR","Deputado Estadual",24,20,14," 70,00","41,67","30,00"
"266",2018,"RS","Deputado Estadual",55,39,24," 61,54","56,36","38,46"
"267",2018,"SC","Deputado Estadual",40,28,17," 60,71","57,50","39,29"
"268",2018,"SE","Deputado Estadual",24,14,11," 78,57","54,17","21,43"
"269",2018,"SP","Deputado Estadual",94,72,43," 59,72","54,26","40,28"
"270",2018,"TO","Deputado Estadual",24,16,16,"100,00","33,33"," 0,00"
