"","Ano da eleição","UF","Cargo","Volatilidade eleitoral","Volatilidade parlamentar"
"158",2002,"RS","Deputado Estadual","11,50","11,50"
"159",2002,"SC","Deputado Estadual","13,03","13,03"
"160",2002,"SE","Deputado Estadual","13,50","13,50"
"161",2002,"SP","Deputado Estadual","15,00","15,00"
"162",2002,"TO","Deputado Estadual","13,68","13,73"
"163",2006,"AC","Deputado Estadual","11,58","11,60"
"164",2006,"AL","Deputado Estadual","13,50","13,50"
"165",2006,"AM","Deputado Estadual","14,46","14,44"
"166",2006,"AP","Deputado Estadual","13,00","13,00"
"167",2006,"BA","Deputado Estadual","14,00","14,00"
"168",2006,"CE","Deputado Estadual","14,02","14,01"
"169",2006,"DF","Deputado Distrital","15,00","15,06"
"170",2006,"ES","Deputado Estadual","14,47","14,47"
"171",2006,"GO","Deputado Estadual","14,00","14,00"
"172",2006,"MA","Deputado Estadual","13,50","13,50"
"173",2006,"MG","Deputado Estadual","14,00","14,00"
"174",2006,"MS","Deputado Estadual","13,49","13,50"
"175",2006,"MT","Deputado Estadual","12,22","12,50"
"176",2006,"PA","Deputado Estadual","14,00","14,00"
"177",2006,"PB","Deputado Estadual","14,50","14,50"
"178",2006,"PE","Deputado Estadual","14,49","14,49"
"179",2006,"PI","Deputado Estadual","12,95","13,00"
"180",2006,"PR","Deputado Estadual","14,50","14,50"
"181",2006,"RJ","Deputado Estadual","14,50","14,50"
"182",2006,"RN","Deputado Estadual","12,50","12,50"
"183",2006,"RO","Deputado Estadual","12,50","12,50"
"184",2006,"RR","Deputado Estadual","13,50","13,50"
"185",2006,"RS","Deputado Estadual","13,01","13,01"
"186",2006,"SC","Deputado Estadual","12,99","13,00"
"187",2006,"SE","Deputado Estadual","13,00","13,00"
"188",2006,"SP","Deputado Estadual","14,99","15,00"
"189",2006,"TO","Deputado Estadual","13,47","13,48"
"190",2010,"AC","Deputado Estadual","12,00","12,00"
"191",2010,"AL","Deputado Estadual","13,46","13,46"
"192",2010,"AM","Deputado Estadual","13,48","13,48"
"193",2010,"AP","Deputado Estadual","13,00","13,00"
"194",2010,"BA","Deputado Estadual","13,93","13,94"
"195",2010,"CE","Deputado Estadual","13,97","13,98"
"196",2010,"DF","Deputado Distrital","14,45","14,40"
"197",2010,"ES","Deputado Estadual","13,39","13,35"
"198",2010,"GO","Deputado Estadual","13,48","13,48"
"199",2010,"MA","Deputado Estadual","13,43","13,44"
"200",2010,"MG","Deputado Estadual","13,98","13,98"
"201",2010,"MS","Deputado Estadual","12,97","12,98"
"202",2010,"MT","Deputado Estadual","12,00","12,00"
"203",2010,"PA","Deputado Estadual","13,94","13,96"
"204",2010,"PB","Deputado Estadual","14,45","14,43"
"205",2010,"PE","Deputado Estadual","13,97","13,97"
"206",2010,"PI","Deputado Estadual","12,96","12,95"
"207",2010,"PR","Deputado Estadual","14,46","14,44"
"208",2010,"RJ","Deputado Estadual","14,48","14,49"
"209",2010,"RN","Deputado Estadual","12,00","12,00"
"210",2010,"RO","Deputado Estadual","12,48","12,48"
"211",2010,"RR","Deputado Estadual","13,43","13,40"
"212",2010,"RS","Deputado Estadual","12,99","12,99"
"213",2010,"SC","Deputado Estadual","11,50","11,50"
"214",2010,"SE","Deputado Estadual","13,00","13,00"
"215",2010,"SP","Deputado Estadual","13,97","13,96"
"216",2010,"TO","Deputado Estadual","11,96","11,96"
"217",2014,"AC","Deputado Estadual","14,08","14,10"
"218",2014,"AL","Deputado Estadual","14,04","14,04"
"219",2014,"AM","Deputado Estadual","15,57","15,54"
"220",2014,"AP","Deputado Estadual","14,55","14,54"
"221",2014,"BA","Deputado Estadual","15,11","15,10"
"222",2014,"CE","Deputado Estadual","15,58","15,58"
"223",2014,"DF","Deputado Distrital","16,07","16,06"
"224",2014,"ES","Deputado Estadual","15,70","15,73"
"225",2014,"GO","Deputado Estadual","15,55","15,56"
"226",2014,"MA","Deputado Estadual","15,69","15,69"
"227",2014,"MG","Deputado Estadual","15,53","15,53"
"228",2014,"MS","Deputado Estadual","15,19","15,17"
"229",2014,"MT","Deputado Estadual","13,04","13,04"
"230",2014,"PA","Deputado Estadual","15,66","15,66"
"231",2014,"PB","Deputado Estadual","15,57","15,58"
"232",2014,"PE","Deputado Estadual","15,59","15,58"
"233",2014,"PI","Deputado Estadual","15,67","15,68"
"234",2014,"PR","Deputado Estadual","15,58","15,59"
"235",2014,"RJ","Deputado Estadual","15,60","15,59"
"236",2014,"RN","Deputado Estadual","14,60","14,58"
"237",2014,"RO","Deputado Estadual","14,62","14,60"
"238",2014,"RR","Deputado Estadual","15,14","15,17"
"239",2014,"RS","Deputado Estadual","15,09","15,08"
"240",2014,"SC","Deputado Estadual","15,30","15,32"
"241",2014,"SE","Deputado Estadual","14,57","14,56"
"242",2014,"SP","Deputado Estadual","15,55","15,55"
"243",2014,"TO","Deputado Estadual","15,20","15,19"
"244",2018,"AC","Deputado Estadual","15,04","15,04"
"245",2018,"AL","Deputado Estadual","16,08","16,07"
"246",2018,"AM","Deputado Estadual","16,02","16,02"
"247",2018,"AP","Deputado Estadual","15,02","15,02"
"248",2018,"BA","Deputado Estadual","16,07","16,07"
"249",2018,"CE","Deputado Estadual","16,01","16,01"
"250",2018,"DF","Deputado Distrital","17,52","17,50"
