"","Ano da eleição","UF","Cargo","Sigla do partido","Cadeiras conquistadas"
"471",2002,"AP","Deputado Estadual","PSD",2
"472",2002,"BA","Deputado Estadual","PSD",2
"473",2002,"CE","Deputado Estadual","PSD",1
"474",2002,"GO","Deputado Estadual","PSD",1
"475",2002,"MA","Deputado Estadual","PSD",6
"476",2002,"MG","Deputado Estadual","PSD",2
"477",2002,"MS","Deputado Estadual","PSD",1
"478",2002,"PA","Deputado Estadual","PSD",2
"479",2002,"PE","Deputado Estadual","PSD",3
"480",2002,"RR","Deputado Estadual","PSD",2
"481",2002,"AC","Deputado Estadual","PSDB",2
"482",2002,"AL","Deputado Estadual","PSDB",2
"483",2002,"AM","Deputado Estadual","PSDB",1
"484",2002,"AP","Deputado Estadual","PSDB",1
"485",2002,"BA","Deputado Estadual","PSDB",3
"486",2002,"CE","Deputado Estadual","PSDB",17
"487",2002,"ES","Deputado Estadual","PSDB",2
"488",2002,"GO","Deputado Estadual","PSDB",12
"489",2002,"MA","Deputado Estadual","PSDB",3
"490",2002,"MG","Deputado Estadual","PSDB",11
"491",2002,"MS","Deputado Estadual","PSDB",4
"492",2002,"MT","Deputado Estadual","PSDB",7
"493",2002,"PA","Deputado Estadual","PSDB",7
"494",2002,"PB","Deputado Estadual","PSDB",10
"495",2002,"PE","Deputado Estadual","PSDB",6
"496",2002,"PI","Deputado Estadual","PSDB",4
"497",2002,"PR","Deputado Estadual","PSDB",5
"498",2002,"RJ","Deputado Estadual","PSDB",4
"499",2002,"RO","Deputado Estadual","PSDB",3
"500",2002,"RR","Deputado Estadual","PSDB",3
"501",2002,"RS","Deputado Estadual","PSDB",3
"502",2002,"SC","Deputado Estadual","PSDB",3
"503",2002,"SE","Deputado Estadual","PSDB",2
"504",2002,"SP","Deputado Estadual","PSDB",18
"505",2002,"TO","Deputado Estadual","PSDB",4
"506",2002,"AC","Deputado Estadual","PSDC",2
"507",2002,"AM","Deputado Estadual","PSDC",2
"508",2002,"GO","Deputado Estadual","PSDC",1
"509",2002,"PE","Deputado Estadual","PSDC",1
"510",2002,"AL","Deputado Estadual","PSL",1
"511",2002,"CE","Deputado Estadual","PSL",1
"512",2002,"MS","Deputado Estadual","PSL",2
"513",2002,"PE","Deputado Estadual","PSL",1
"514",2002,"PR","Deputado Estadual","PSL",2
"515",2002,"RJ","Deputado Estadual","PSL",2
"516",2002,"RO","Deputado Estadual","PSL",1
"517",2002,"RR","Deputado Estadual","PSL",3
"518",2002,"AP","Deputado Estadual","PST",1
"519",2002,"BA","Deputado Estadual","PST",4
"520",2002,"CE","Deputado Estadual","PST",1
"521",2002,"GO","Deputado Estadual","PST",1
"522",2002,"MG","Deputado Estadual","PST",2
"523",2002,"MS","Deputado Estadual","PST",1
"524",2002,"PA","Deputado Estadual","PST",2
"525",2002,"RR","Deputado Estadual","PST",2
"526",2002,"AC","Deputado Estadual","PT",5
"527",2002,"AL","Deputado Estadual","PT",1
"528",2002,"AM","Deputado Estadual","PT",1
"529",2002,"AP","Deputado Estadual","PT",2
"530",2002,"BA","Deputado Estadual","PT",10
"531",2002,"CE","Deputado Estadual","PT",5
"532",2002,"ES","Deputado Estadual","PT",4
"533",2002,"GO","Deputado Estadual","PT",4
"534",2002,"MA","Deputado Estadual","PT",2
"535",2002,"MG","Deputado Estadual","PT",15
"536",2002,"MS","Deputado Estadual","PT",3
"537",2002,"MT","Deputado Estadual","PT",2
"538",2002,"PA","Deputado Estadual","PT",5
"539",2002,"PB","Deputado Estadual","PT",4
"540",2002,"PE","Deputado Estadual","PT",5
"541",2002,"PI","Deputado Estadual","PT",3
"542",2002,"PR","Deputado Estadual","PT",9
"543",2002,"RJ","Deputado Estadual","PT",8
"544",2002,"RN","Deputado Estadual","PT",2
"545",2002,"RO","Deputado Estadual","PT",4
"546",2002,"RR","Deputado Estadual","PT",1
"547",2002,"RS","Deputado Estadual","PT",13
"548",2002,"SC","Deputado Estadual","PT",9
"549",2002,"SE","Deputado Estadual","PT",1
"550",2002,"SP","Deputado Estadual","PT",23
"551",2002,"TO","Deputado Estadual","PT",1
"552",2002,"AL","Deputado Estadual","PT do B",2
