"","Ano da eleição","UF","Cargo","Quantidade de abstenções","Quantidade de votos brancos","Quantidade de votos nulos","Quantidade de eleitores aptos","Alienação Absoluta","Alienação Percentual"
"104",2010,"RS","Deputado Estadual",1204648,487153,166981,8107550,"1.858.782",22.93
"105",2010,"SC","Deputado Estadual",636654,216495,130733,4536718,"983.882",21.69
"106",2010,"SE","Deputado Estadual",240465,60258,38107,1425334,"338.830",23.77
"107",2010,"SP","Deputado Estadual",4979456,1929787,1243350,30289723,"8.152.593",26.92
"108",2010,"TO","Deputado Estadual",175260,14862,15888,947904,"206.010",21.73
"109",2014,"AC","Deputado Estadual",87748,6402,6770,506520,"100.920",19.92
"110",2014,"AL","Deputado Estadual",382657,107037,74887,1995153,"564.581",28.3
"111",2014,"AM","Deputado Estadual",433813,67215,35723,2225630,"536.751",24.12
"112",2014,"AP","Deputado Estadual",47522,6907,7727,455368,"62.156",13.65
"113",2014,"BA","Deputado Estadual",2360558,517761,402868,10179390,"3.281.187",32.23
"114",2014,"CE","Deputado Estadual",1261344,315678,206727,6268909,"1.783.749",28.45
"115",2014,"DF","Deputado Estadual",221189,79680,62463,1895697,"363.332",19.17
"116",2014,"ES","Deputado Estadual",501373,148266,74820,2651621,"724.459",27.32
"117",2014,"GO","Deputado Estadual",815396,222366,150653,4329834,"1.188.415",27.45
"118",2014,"MA","Deputado Estadual",1062192,154227,79116,4495864,"1.295.535",28.82
"119",2014,"MG","Deputado Estadual",3050396,1049109,721316,15236578,"4.820.821",31.64
"120",2014,"MS","Deputado Estadual",373191,82920,41190,1817511,"497.301",27.36
"121",2014,"MT","Deputado Estadual",501407,101804,62453,2188283,"665.664",30.42
"122",2014,"PA","Deputado Estadual",1094110,169445,108697,5185950,"1.372.252",26.46
"123",2014,"PB","Deputado Estadual",500260,191294,119774,2834782,"811.328",28.62
"124",2014,"PE","Deputado Estadual",1049479,476240,221583,6353859,"1.747.302",27.5
"125",2014,"PI","Deputado Estadual",443062,70724,55582,2344476,"569.368",24.29
"126",2014,"PR","Deputado Estadual",1324920,466385,270021,7861171,"2.61.326",26.22
"127",2014,"RJ","Deputado Estadual",2440581,783556,844206,12134443,"4.68.343",33.53
"128",2014,"RN","Deputado Estadual",391478,124441,149208,2326583,"665.127",28.59
"129",2014,"RO","Deputado Estadual",240573,37704,23593,1126502,"301.870",26.8
"130",2014,"RR","Deputado Estadual",37217,3925,4578,299411,"45.720",15.27
"131",2014,"RS","Deputado Estadual",1408386,629407,238082,8385229,"2.275.875",27.14
"132",2014,"SC","Deputado Estadual",796820,294771,199683,4855732,"1.291.274",26.59
"133",2014,"SE","Deputado Estadual",213706,86346,67468,1453597,"367.520",25.28
"134",2014,"SP","Deputado Estadual",6242936,2619489,1975488,31979717,"10.837.913",33.89
"135",2014,"TO","Deputado Estadual",195295,23249,20794,996379,"239.338",24.02
"136",2018,"AC","Deputado Estadual",103929,7429,7465,547358,"118.823",21.71
"137",2018,"AL","Deputado Estadual",494353,75150,115939,2187228,"685.442",31.34
"138",2018,"AM","Deputado Estadual",469693,67505,81053,2427111,"618.251",25.47
"139",2018,"AP","Deputado Estadual",85442,7100,8432,511824,"100.974",19.73
"140",2018,"BA","Deputado Estadual",2154937,379434,859130,10390247,"3.393.501",32.66
"141",2018,"CE","Deputado Estadual",1099042,260044,373372,6342532,"1.732.458",27.31
"142",2018,"DF","Deputado Estadual",389826,87589,78624,2081218,"556.039",26.72
"143",2018,"ES","Deputado Estadual",530378,129964,127807,2753585,"788.149",28.62
"144",2018,"GO","Deputado Estadual",899328,196040,267095,4453034,"1.362.463",30.6
"145",2018,"MA","Deputado Estadual",931519,139441,134837,4536193,"1.205.797",26.58
"146",2018,"MG","Deputado Estadual",3483956,822231,1207933,15695210,"5.514.120",35.13
"147",2018,"MS","Deputado Estadual",398287,86401,80274,1876929,"564.962",30.1
"148",2018,"MT","Deputado Estadual",572006,93543,106522,2329374,"772.071",33.14
