"","Ano da eleição","UF","Cargo","Sigla do partido","Cadeiras conquistadas por UF","Total de cadeiras conquistadas","Percentual de cadeiras"
"129",1998,"MT","Deputado Federal","PSDB",3,99,0.192982456140351
"130",1998,"PA","Deputado Federal","PSDB",4,99,0.192982456140351
"131",1998,"PB","Deputado Federal","PSDB",1,99,0.192982456140351
"132",1998,"PE","Deputado Federal","PSDB",1,99,0.192982456140351
"133",1998,"PI","Deputado Federal","PSDB",1,99,0.192982456140351
"134",1998,"PR","Deputado Federal","PSDB",5,99,0.192982456140351
"135",1998,"RJ","Deputado Federal","PSDB",11,99,0.192982456140351
"136",1998,"RO","Deputado Federal","PSDB",2,99,0.192982456140351
"137",1998,"RR","Deputado Federal","PSDB",2,99,0.192982456140351
"138",1998,"RS","Deputado Federal","PSDB",2,99,0.192982456140351
"139",1998,"SC","Deputado Federal","PSDB",1,99,0.192982456140351
"140",1998,"SE","Deputado Federal","PSDB",1,99,0.192982456140351
"141",1998,"SP","Deputado Federal","PSDB",15,99,0.192982456140351
"142",1998,"TO","Deputado Federal","PSDB",1,99,0.192982456140351
"143",1998,"PE","Deputado Federal","PSL",1,1,0.00194931773879142
"144",1998,"MG","Deputado Federal","PST",1,1,0.00194931773879142
"145",1998,"AC","Deputado Federal","PT",2,59,0.115009746588694
"146",1998,"BA","Deputado Federal","PT",5,59,0.115009746588694
"147",1998,"CE","Deputado Federal","PT",1,59,0.115009746588694
"148",1998,"DF","Deputado Federal","PT",2,59,0.115009746588694
"149",1998,"ES","Deputado Federal","PT",1,59,0.115009746588694
"150",1998,"GO","Deputado Federal","PT",1,59,0.115009746588694
"151",1998,"MG","Deputado Federal","PT",7,59,0.115009746588694
"152",1998,"MS","Deputado Federal","PT",2,59,0.115009746588694
"153",1998,"PA","Deputado Federal","PT",3,59,0.115009746588694
"154",1998,"PB","Deputado Federal","PT",1,59,0.115009746588694
"155",1998,"PE","Deputado Federal","PT",1,59,0.115009746588694
