"","ANO_ELEICAO","UF","SIGLA_PARTIDO","VOT_PART_UF"
"587",1998,"SP","PSL",12790
"588",1998,"SP","PSN",35355
"589",1998,"SP","PST",32516
"590",1998,"SP","PSTU",48753
"591",1998,"SP","PT",2992121
"592",1998,"SP","PT do B",37454
"593",1998,"SP","PTB",1063351
"594",1998,"SP","PTN",10491
"595",1998,"SP","PV",148459
"596",1998,"TO","PC do B",27
"597",1998,"TO","PDT",1173
"598",1998,"TO","PFL",184797
"599",1998,"TO","PGT",19
"600",1998,"TO","PL",878
"601",1998,"TO","PMDB",91938
"602",1998,"TO","PPB",63012
"603",1998,"TO","PPS",2110
"604",1998,"TO","PRONA",2113
"605",1998,"TO","PRP",145
"606",1998,"TO","PRTB",88
"607",1998,"TO","PSB",4268
"608",1998,"TO","PSC",334
"609",1998,"TO","PSD",75
"610",1998,"TO","PSDB",49392
"611",1998,"TO","PSDC",48
"612",1998,"TO","PST",35
"613",1998,"TO","PT",8781
"614",1998,"TO","PT do B",21
"615",1998,"TO","PTB",3727
"616",1998,"TO","PTN",54
"617",1998,"TO","PV",139
"618",2002,"AC","PC do B",22835
"619",2002,"AC","PDT",4570
"620",2002,"AC","PFL",7062
"621",2002,"AC","PL",4422
"622",2002,"AC","PMDB",29489
"623",2002,"AC","PMN",9911
"624",2002,"AC","PPB",41059
"625",2002,"AC","PPS",33863
"626",2002,"AC","PSB",19876
"627",2002,"AC","PSC",276
"628",2002,"AC","PSDB",12208
"629",2002,"AC","PSDC",767
"630",2002,"AC","PSL",528
"631",2002,"AC","PST",1679
"632",2002,"AC","PT",70755
"633",2002,"AC","PT do B",106
"634",2002,"AC","PTB",11871
"635",2002,"AC","PV",7497
"636",2002,"AL","PAN",767
"637",2002,"AL","PC do B",11145
"638",2002,"AL","PDT",22886
"639",2002,"AL","PFL",126989
"640",2002,"AL","PGT",519
"641",2002,"AL","PHS",2660
"642",2002,"AL","PL",93276
"643",2002,"AL","PMDB",114619
"644",2002,"AL","PMN",3300
"645",2002,"AL","PPB",50339
