"","ANO_ELEICAO","DESCRICAO_CARGO","SIGLA_PARTIDO","UF","Cadeiras conquistadas"
"139",1998,"DEPUTADO ESTADUAL","PRONA","SP",3
"140",1998,"DEPUTADO ESTADUAL","PRP","MA",2
"141",1998,"DEPUTADO ESTADUAL","PRP","SP",1
"142",1998,"DEPUTADO ESTADUAL","PRTB","MA",2
"143",1998,"DEPUTADO ESTADUAL","PSB","AL",3
"144",1998,"DEPUTADO ESTADUAL","PSB","AP",3
"145",1998,"DEPUTADO ESTADUAL","PSB","BA",4
"146",1998,"DEPUTADO ESTADUAL","PSB","CE",1
"147",1998,"DEPUTADO ESTADUAL","PSB","ES",3
"148",1998,"DEPUTADO ESTADUAL","PSB","MA",1
"149",1998,"DEPUTADO ESTADUAL","PSB","MG",5
"150",1998,"DEPUTADO ESTADUAL","PSB","MT",1
"151",1998,"DEPUTADO ESTADUAL","PSB","PA",1
"152",1998,"DEPUTADO ESTADUAL","PSB","PE",12
"153",1998,"DEPUTADO ESTADUAL","PSB","PI",1
"154",1998,"DEPUTADO ESTADUAL","PSB","PR",2
"155",1998,"DEPUTADO ESTADUAL","PSB","RJ",3
"156",1998,"DEPUTADO ESTADUAL","PSB","RN",2
"157",1998,"DEPUTADO ESTADUAL","PSB","RS",1
"158",1998,"DEPUTADO ESTADUAL","PSB","SE",2
"159",1998,"DEPUTADO ESTADUAL","PSB","SP",2
"160",1998,"DEPUTADO ESTADUAL","PSC","AM",1
"161",1998,"DEPUTADO ESTADUAL","PSC","BA",3
"162",1998,"DEPUTADO ESTADUAL","PSC","CE",1
"163",1998,"DEPUTADO ESTADUAL","PSC","GO",1
"164",1998,"DEPUTADO ESTADUAL","PSC","MA",1
"165",1998,"DEPUTADO ESTADUAL","PSC","MG",1
"166",1998,"DEPUTADO ESTADUAL","PSC","PE",2
"167",1998,"DEPUTADO ESTADUAL","PSC","PR",1
"168",1998,"DEPUTADO ESTADUAL","PSC","RJ",2
"169",1998,"DEPUTADO ESTADUAL","PSC","RO",2
"170",1998,"DEPUTADO ESTADUAL","PSC","SE",1
"171",1998,"DEPUTADO ESTADUAL","PSD","AL",3
"172",1998,"DEPUTADO ESTADUAL","PSD","AP",3
"173",1998,"DEPUTADO ESTADUAL","PSD","GO",4
"174",1998,"DEPUTADO ESTADUAL","PSD","MA",7
"175",1998,"DEPUTADO ESTADUAL","PSD","MG",4
"176",1998,"DEPUTADO ESTADUAL","PSD","PA",2
"177",1998,"DEPUTADO ESTADUAL","PSDB","AC",2
"178",1998,"DEPUTADO ESTADUAL","PSDB","AL",4
"179",1998,"DEPUTADO ESTADUAL","PSDB","AM",1
"180",1998,"DEPUTADO ESTADUAL","PSDB","AP",1
"181",1998,"DEPUTADO ESTADUAL","PSDB","BA",4
"182",1998,"DEPUTADO ESTADUAL","PSDB","CE",21
"183",1998,"DEPUTADO ESTADUAL","PSDB","ES",4
"184",1998,"DEPUTADO ESTADUAL","PSDB","GO",6
"185",1998,"DEPUTADO ESTADUAL","PSDB","MA",1
"186",1998,"DEPUTADO ESTADUAL","PSDB","MG",15
"187",1998,"DEPUTADO ESTADUAL","PSDB","MS",7
