"","UF","NOME_MUNICIPIO"
"434","BA","Lençóis"
"435","BA","Licínio de Almeida"
"436","BA","Livramento de Nossa Senhora"
"437","BA","Luís Eduardo Magalhães"
"438","BA","Macajuba"
"439","BA","Macarani"
"440","BA","Macaúbas"
"441","BA","Macururé"
"442","BA","Madre de Deus"
"443","BA","Maetinga"
"444","BA","Maiquinique"
"445","BA","Mairi"
"446","BA","Malhada"
"447","BA","Malhada de Pedras"
"448","BA","Manoel Vitorino"
"449","BA","Mansidão"
"450","BA","Maracás"
"451","BA","Maragogipe"
"452","BA","Maraú"
"453","BA","Marcionílio Souza"
"454","BA","Mascote"
"455","BA","Mata de São João"
"456","BA","Matina"
"457","BA","Medeiros Neto"
"458","BA","Miguel Calmon"
"459","BA","Milagres"
"460","BA","Mirangaba"
"461","BA","Mirante"
"462","BA","Monte Santo"
"463","BA","Morpará"
"464","BA","Morro do Chapéu"
"465","BA","Mortugaba"
"466","BA","Mucugê"
"467","BA","Mucuri"
"468","BA","Mulungu do Morro"
"469","BA","Mundo Novo"
"470","BA","Muniz Ferreira"
"471","BA","Muquém de São Francisco"
"472","BA","Muritiba"
"473","BA","Mutuípe"
"474","BA","Nazaré"
"475","BA","Nilo Peçanha"
"476","BA","Nordestina"
"477","BA","Nova Canaã"
"478","BA","Nova Fátima"
"479","BA","Nova Ibiá"
"480","BA","Nova Itarana"
"481","BA","Nova Redenção"
"482","BA","Nova Soure"
"483","BA","Nova Viçosa"
"484","BA","Novo Horizonte"
"485","BA","Novo Triunfo"
"486","BA","Olindina"
"487","BA","Oliveira dos Brejinhos"
"488","BA","Ouriçangas"
"489","BA","Ourolândia"
"490","BA","Palmas de Monte Alto"
"491","BA","Palmeiras"
"492","BA","Paramirim"
"493","BA","Paratinga"
"494","BA","Paripiranga"
"495","BA","Pau Brasil"
"496","BA","Paulo Afonso"
"497","BA","Pé de Serra"
"498","BA","Pedrão"
"499","BA","Pedro Alexandre"
"500","BA","Piatã"
"501","BA","Pilão Arcado"
"502","BA","Pindaí"
"503","BA","Pindobaçu"
"504","BA","Pintadas"
"505","BA","Piraí do Norte"
"506","BA","Piripá"
"507","BA","Piritiba"
"508","BA","Planaltino"
"509","BA","Planalto"
"510","BA","Poções"
"511","BA","Pojuca"
"512","BA","Ponto Novo"
"513","BA","Porto Seguro"
"514","BA","Potiraguá"
"515","BA","Prado"
"516","BA","Presidente Dutra"
"517","BA","Presidente Jânio Quadros"
"518","BA","Presidente Tancredo Neves"
"519","BA","Queimadas"
"520","BA","Quijingue"
"521","BA","Quixabeira"
"522","BA","Rafael Jambeiro"
"523","BA","Remanso"
"524","BA","Retirolândia"
"525","BA","Riachão das Neves"
"526","BA","Riachão do Jacuípe"
"527","BA","Riacho de Santana"
"528","BA","Ribeira do Amparo"
"529","BA","Ribeira do Pombal"
"530","BA","Ribeirão do Largo"
"531","BA","Rio de Contas"
"532","BA","Rio do Antônio"
"533","BA","Rio do Pires"
"534","BA","Rio Real"
"535","BA","Rodelas"
"536","BA","Ruy Barbosa"
"537","BA","Salinas da Margarida"
"538","BA","Salvador"
"539","BA","Santa Bárbara"
"540","BA","Santa Brígida"
"541","BA","Santa Cruz Cabrália"
"542","BA","Santa Cruz da Vitória"
"543","BA","Santa Inês"
"544","BA","Santa Luzia"
"545","BA","Santa Maria da Vitória"
"546","BA","Santa Rita de Cássia"
"547","BA","Santa Teresinha"
"548","BA","Santaluz"
"549","BA","Santana"
"550","BA","Santanópolis"
"551","BA","Santo Amaro"
"552","BA","Santo Antônio de Jesus"
"553","BA","Santo Estêvão"
"554","BA","São Desidério"
"555","BA","São Domingos"
"556","BA","São Felipe"
"557","BA","São Félix"
"558","BA","São Félix do Coribe"
"559","BA","São Francisco do Conde"
"560","BA","São Gabriel"
"561","BA","São Gonçalo dos Campos"
"562","BA","São José da Vitória"
"563","BA","São José do Jacuípe"
"564","BA","São Miguel das Matas"
"565","BA","São Sebastião do Passé"
"566","BA","Sapeaçu"
"567","BA","Sátiro Dias"
"568","BA","Saubara"
"569","BA","Saúde"
"570","BA","Seabra"
"571","BA","Sebastião Laranjeiras"
"572","BA","Senhor do Bonfim"
"573","BA","Sento Sé"
"574","BA","Serra do Ramalho"
"575","BA","Serra Dourada"
"576","BA","Serra Preta"
"577","BA","Serrinha"
"578","BA","Serrolândia"
"579","BA","Simões Filho"
"580","BA","Sítio do Mato"
"581","BA","Sítio do Quinto"
"582","BA","Sobradinho"
"583","BA","Souto Soares"
"584","BA","Tabocas do Brejo Velho"
"585","BA","Tanhaçu"
"586","BA","Tanque Novo"
"587","BA","Tanquinho"
"588","BA","Taperoá"
"589","BA","Tapiramutá"
"590","BA","Teixeira de Freitas"
"591","BA","Teodoro Sampaio"
"592","BA","Teofilândia"
"593","BA","Teolândia"
"594","BA","Terra Nova"
"595","BA","Tremedal"
"596","BA","Tucano"
"597","BA","Uauá"
"598","BA","Ubaíra"
"599","BA","Ubaitaba"
"600","BA","Ubatã"
"601","BA","Uibaí"
"602","BA","Umburanas"
"603","BA","Una"
"604","BA","Urandi"
"605","BA","Uruçuca"
"606","BA","Utinga"
"607","BA","Valença"
"608","BA","Valente"
"609","BA","Várzea da Roça"
"610","BA","Várzea do Poço"
"611","BA","Várzea Nova"
"612","BA","Varzedo"
"613","BA","Vera Cruz"
"614","BA","Vereda"
"615","BA","Vitória da Conquista"
"616","BA","Wagner"
"617","BA","Wanderley"
"618","BA","Wenceslau Guimarães"
"619","BA","Xique-Xique"
"620","CE","Abaiara"
"621","CE","Acarape"
"622","CE","Acaraú"
"623","CE","Acopiara"
"624","CE","Aiuaba"
"625","CE","Alcântaras"
"626","CE","Altaneira"
"627","CE","Alto Santo"
"628","CE","Amontada"
"629","CE","Antonina do Norte"
"630","CE","Apuiarés"
"631","CE","Aquiraz"
"632","CE","Aracati"
"633","CE","Aracoiaba"
"634","CE","Ararendá"
"635","CE","Araripe"
"636","CE","Aratuba"
"637","CE","Arneiroz"
"638","CE","Assaré"
"639","CE","Aurora"
"640","CE","Baixio"
"641","CE","Banabuiú"
"642","CE","Barbalha"
"643","CE","Barreira"
"644","CE","Barro"
"645","CE","Barroquinha"
"646","CE","Baturité"
"647","CE","Beberibe"
"648","CE","Bela Cruz"
"649","CE","Boa Viagem"
"650","CE","Brejo Santo"
"651","CE","Camocim"
"652","CE","Campos Sales"
"653","CE","Canindé"
"654","CE","Capistrano"
"655","CE","Caridade"
"656","CE","Cariré"
"657","CE","Caririaçu"
"658","CE","Cariús"
"659","CE","Carnaubal"
"660","CE","Cascavel"
"661","CE","Catarina"
"662","CE","Catunda"
"663","CE","Caucaia"
"664","CE","Cedro"
"665","CE","Chaval"
"666","CE","Choró"
"667","CE","Chorozinho"
"668","CE","Coreaú"
"669","CE","Crateús"
"670","CE","Crato"
"671","CE","Croatá"
"672","CE","Cruz"
"673","CE","Deputado Irapuan Pinheiro"
"674","CE","Ererê"
"675","CE","Eusébio"
"676","CE","Farias Brito"
"677","CE","Forquilha"
"678","CE","Fortaleza"
"679","CE","Fortim"
"680","CE","Frecheirinha"
"681","CE","General Sampaio"
"682","CE","Graça"
"683","CE","Granja"
"684","CE","Granjeiro"
"685","CE","Groaíras"
"686","CE","Guaiúba"
"687","CE","Guaraciaba do Norte"
"688","CE","Guaramiranga"
"689","CE","Hidrolândia"
"690","CE","Horizonte"
"691","CE","Ibaretama"
"692","CE","Ibiapina"
"693","CE","Ibicuitinga"
"694","CE","Icapuí"
"695","CE","Icó"
"696","CE","Iguatu"
"697","CE","Independência"
"698","CE","Ipaporanga"
"699","CE","Ipaumirim"
"700","CE","Ipu"
"701","CE","Ipueiras"
"702","CE","Iracema"
"703","CE","Irauçuba"
"704","CE","Itaiçaba"
"705","CE","Itaitinga"
"706","CE","Itapajé"
"707","CE","Itapipoca"
"708","CE","Itapiúna"
"709","CE","Itarema"
"710","CE","Itatira"
"711","CE","Jaguaretama"
"712","CE","Jaguaribara"
"713","CE","Jaguaribe"
"714","CE","Jaguaruana"
"715","CE","Jardim"
"716","CE","Jati"
"717","CE","Jijoca de Jericoacoara"
"718","CE","Juazeiro do Norte"
"719","CE","Jucás"
"720","CE","Lavras da Mangabeira"
"721","CE","Limoeiro do Norte"
"722","CE","Madalena"
"723","CE","Maracanaú"
"724","CE","Maranguape"
"725","CE","Marco"
"726","CE","Martinópole"
"727","CE","Massapê"
"728","CE","Mauriti"
"729","CE","Meruoca"
"730","CE","Milagres"
"731","CE","Milhã"
"732","CE","Miraíma"
"733","CE","Missão Velha"
"734","CE","Mombaça"
"735","CE","Monsenhor Tabosa"
"736","CE","Morada Nova"
"737","CE","Moraújo"
"738","CE","Morrinhos"
"739","CE","Mucambo"
"740","CE","Mulungu"
"741","CE","Nova Olinda"
"742","CE","Nova Russas"
"743","CE","Novo Oriente"
"744","CE","Ocara"
"745","CE","Orós"
"746","CE","Pacajus"
"747","CE","Pacatuba"
"748","CE","Pacoti"
"749","CE","Pacujá"
"750","CE","Palhano"
"751","CE","Palmácia"
"752","CE","Paracuru"
"753","CE","Paraipaba"
"754","CE","Parambu"
"755","CE","Paramoti"
"756","CE","Pedra Branca"
"757","CE","Penaforte"
"758","CE","Pentecoste"
"759","CE","Pereiro"
"760","CE","Pindoretama"
"761","CE","Piquet Carneiro"
"762","CE","Pires Ferreira"
"763","CE","Poranga"
"764","CE","Porteiras"
"765","CE","Potengi"
"766","CE","Potiretama"
"767","CE","Quiterianópolis"
"768","CE","Quixadá"
"769","CE","Quixelô"
"770","CE","Quixeramobim"
"771","CE","Quixeré"
"772","CE","Redenção"
"773","CE","Reriutaba"
"774","CE","Russas"
"775","CE","Saboeiro"
"776","CE","Salitre"
"777","CE","Santa Quitéria"
"778","CE","Santana do Acaraú"
"779","CE","Santana do Cariri"
"780","CE","São Benedito"
"781","CE","São Gonçalo do Amarante"
"782","CE","São João do Jaguaribe"
"783","CE","São Luís do Curu"
"784","CE","Senador Pompeu"
"785","CE","Senador Sá"
"786","CE","Sobral"
"787","CE","Solonópole"
"788","CE","Tabuleiro do Norte"
"789","CE","Tamboril"
"790","CE","Tarrafas"
"791","CE","Tauá"
"792","CE","Tejuçuoca"
"793","CE","Tianguá"
"794","CE","Trairi"
"795","CE","Tururu"
"796","CE","Ubajara"
"797","CE","Umari"
"798","CE","Umirim"
"799","CE","Uruburetama"
"800","CE","Uruoca"
"801","CE","Varjota"
"802","CE","Várzea Alegre"
"803","CE","Viçosa do Ceará"
"804","ES","Afonso Cláudio"
"805","ES","Água Doce do Norte"
"806","ES","Águia Branca"
"807","ES","Alegre"
"808","ES","Alfredo Chaves"
"809","ES","Alto Rio Novo"
"810","ES","Anchieta"
"811","ES","Apiacá"
"812","ES","Aracruz"
"813","ES","Atilio Vivacqua"
"814","ES","Baixo Guandu"
"815","ES","Barra de São Francisco"
"816","ES","Boa Esperança"
"817","ES","Bom Jesus do Norte"
"818","ES","Brejetuba"
"819","ES","Cachoeiro de Itapemirim"
"820","ES","Cariacica"
"821","ES","Castelo"
"822","ES","Colatina"
"823","ES","Conceição da Barra"
"824","ES","Conceição do Castelo"
"825","ES","Divino de São Lourenço"
"826","ES","Domingos Martins"
"827","ES","Dores do Rio Preto"
"828","ES","Ecoporanga"
"829","ES","Fundão"
"830","ES","Governador Lindenberg"
"831","ES","Guaçuí"
"832","ES","Guarapari"
"833","ES","Ibatiba"
"834","ES","Ibiraçu"
"835","ES","Ibitirama"
"836","ES","Iconha"
"837","ES","Irupi"
"838","ES","Itaguaçu"
"839","ES","Itapemirim"
"840","ES","Itarana"
"841","ES","Iúna"
"842","ES","Jaguaré"
"843","ES","Jerônimo Monteiro"
"844","ES","João Neiva"
"845","ES","Laranja da Terra"
"846","ES","Linhares"
"847","ES","Mantenópolis"
"848","ES","Marataízes"
"849","ES","Marechal Floriano"
"850","ES","Marilândia"
"851","ES","Mimoso do Sul"
"852","ES","Montanha"
"853","ES","Mucurici"
"854","ES","Muniz Freire"
"855","ES","Muqui"
"856","ES","Nova Venécia"
"857","ES","Pancas"
"858","ES","Pedro Canário"
"859","ES","Pinheiros"
"860","ES","Piúma"
"861","ES","Ponto Belo"
"862","ES","Presidente Kennedy"
"863","ES","Rio Bananal"
