"","Ano da eleição","UF","Turno","Cargo","Quantidade de abstenções","Quantidade de votos brancos","Quantidade de votos nulos","Quantidade de eleitores aptos","Alienação Absoluta","Alienação Percentual"
"227",2002,"MG",1,"Senador","2.166.461","1.846.420","3.93.634","12.680.350","7.106.515",56.04
"228",2002,"MS",1,"Senador","254.257","119.964","272.712","1.411.773","646.933",45.82
"229",2002,"MT",1,"Senador","383.036","152.817","322.407","1.728.703","858.260",49.65
"230",2002,"PA",1,"Senador","792.300","226.242","587.019","3.569.096","1.605.561",44.99
"231",2002,"PB",1,"Senador","416.560","310.439","606.409","2.322.068","1.333.408",57.42
"232",2002,"PE",1,"Senador","1.150.439","1.8.554","1.261.823","5.396.667","3.420.816",63.39
"233",2002,"PI",1,"Senador","291.650","171.988","458.777","1.848.292","922.415",49.91
"234",2002,"PR",1,"Senador","1.77.980","859.452","1.75.076","6.663.199","3.12.508",45.21
"235",2002,"RJ",1,"Senador","1.499.485","813.370","1.571.684","10.211.785","3.884.539",38.04
"236",2002,"RN",1,"Senador","337.515","224.374","488.815","1.917.382","1.50.704",54.8
"237",2002,"RO",1,"Senador","189.089","65.936","150.033","882.545","405.058",45.9
"238",2002,"RR",1,"Senador","33.313","9.573","33.716","208.524","76.602",36.74
"239",2002,"RS",1,"Senador","955.150","866.097","902.578","7.352.139","2.723.825",37.05
"240",2002,"SC",1,"Senador","516.405","454.945","543.223","3.817.974","1.514.573",39.67
"241",2002,"SE",1,"Senador","198.744","142.579","271.838","1.147.933","613.161",53.41
"242",2002,"SP",1,"Senador","4.86.491","3.403.390","4.567.633","25.651.378","12.57.514",47.01
"243",2002,"TO",1,"Senador","161.818","69.430","186.646","785.397","417.894",53.21
"244",2002,"AC",1,"Deputado Federal","79.355","4.467","7.190","369.786","91.012",24.61
"245",2002,"AL",1,"Deputado Federal","338.349","52.059","40.774","1.598.446","431.182",26.98
"246",2002,"AM",1,"Deputado Federal","331.920","26.738","15.605","1.523.155","374.263",24.57
"247",2002,"AP",1,"Deputado Federal","42.260","3.251","3.431","290.101","48.942",16.87
"248",2002,"BA",1,"Deputado Federal","2.168.026","246.988","196.154","8.567.328","2.611.168",30.48
"249",2002,"CE",1,"Deputado Federal","945.130","126.726","105.072","4.805.259","1.176.928",24.49
"250",2002,"DF",1,"Deputado Federal","233.720","36.582","23.722","1.517.093","294.024",19.38
"251",2002,"ES",1,"Deputado Federal","378.376","78.218","36.705","2.146.425","493.299",22.98
"252",2002,"GO",1,"Deputado Federal","573.047","111.277","66.149","3.365.848","750.473",22.3
"253",2002,"MA",1,"Deputado Federal","812.057","86.633","61.667","3.388.659","960.357",28.34
"254",2002,"MG",1,"Deputado Federal","2.166.453","554.421","339.150","12.680.350","3.60.024",24.13
"255",2002,"MS",1,"Deputado Federal","254.258","39.739","22.311","1.411.773","316.308",22.41
"256",2002,"MT",1,"Deputado Federal","383.062","47.135","27.772","1.728.703","457.969",26.49
"257",2002,"PA",1,"Deputado Federal","792.307","67.353","43.106","3.569.096","902.766",25.29
"258",2002,"PB",1,"Deputado Federal","416.561","120.173","58.686","2.322.068","595.420",25.64
"259",2002,"PE",1,"Deputado Federal","1.150.444","309.480","117.684","5.396.667","1.577.608",29.23
"260",2002,"PI",1,"Deputado Federal","291.659","45.730","38.742","1.848.292","376.131",20.35
"261",2002,"PR",1,"Deputado Federal","1.77.980","306.297","130.787","6.663.199","1.515.064",22.74
"262",2002,"RJ",1,"Deputado Federal","1.499.487","352.307","288.458","10.211.785","2.140.252",20.96
"263",2002,"RN",1,"Deputado Federal","337.519","76.658","42.516","1.917.382","456.693",23.82
"264",2002,"RO",1,"Deputado Federal","189.096","21.295","13.197","882.545","223.588",25.33
"265",2002,"RR",1,"Deputado Federal","33.314","3.315","2.923","208.524","39.552",18.97
"266",2002,"RS",1,"Deputado Federal","955.166","348.952","103.664","7.352.139","1.407.782",19.15
"267",2002,"SC",1,"Deputado Federal","516.405","157.727","71.666","3.817.974","745.798",19.53
"268",2002,"SE",1,"Deputado Federal","198.741","49.552","32.964","1.147.933","281.257",24.5
"269",2002,"SP",1,"Deputado Federal","4.86.503","1.188.622","742.304","25.651.378","6.17.429",23.46
"270",2002,"TO",1,"Deputado Federal","161.822","15.167","18.406","785.397","195.395",24.88
"271",2002,"AC",1,"Deputado Estadual","79.355","4.079","7.275","369.786","90.709",24.53
"272",2002,"AL",1,"Deputado Estadual","338.349","45.709","41.959","1.598.446","426.017",26.65
"273",2002,"AM",1,"Deputado Estadual","331.920","23.198","16.067","1.523.155","371.185",24.37
"274",2002,"AP",1,"Deputado Estadual","42.260","2.401","3.222","290.101","47.883",16.51
"275",2002,"BA",1,"Deputado Estadual","2.168.026","265.322","234.976","8.567.328","2.668.324",31.15
